Outcode,LDZ
AA1,SC
AA10,SC
AA12,SC
AA13,SC
AA14,SC
AA15,SC
AA17,SC
AA18,SC
AA19,SC
AA19,SE
AA21,SO
AA22,SC
AA23,SC
AA24,SC
AA28,SC
AA29,SC
AA31,SC
AA33,SC
AA34,SC
AA35,SC
AA37,SC
AA38,SC
AA39,SC
AA4,SC
AA40,SC
AA40,SE
AA45,SC
AA5,SE
AA6,SE
AA61,SC
AA63,SC
AA64,SC
AA65,SC
AA7,SE
AA80,SC
AA81,SC
AA82,SC
AA83,SC
AA84,SC
AA85,SC
AA86,SC
AA87,SC
AA88,SC
AA9,SC
AA9,SO
AB01,SC
AB02,SC
AB1,SC
AB10,SC
AB11,SC
AB12,SC
AB13,SC
AB14,SC
AB15,SC
AB16,SC
AB2,SC
AB21,SC
AB22,SC
AB23,SC
AB24,SC
AB25,SC
AB28,SC
AB3,SC
AB30,SC
AB31,SC
AB32,SC
AB33,SC
AB34,SC
AB37,SC
AB38,SC
AB39,SC
AB4,SC
AB41,SC
AB42,SC
AB43,SC
AB44,SC
AB45,SC
AB5,SC
AB51,SC
AB52,SC
AB53,SC
AB54,SC
AB55,SC
AB56,SC
AB7,SC
AB8,SC
AB9,SC
BA11,SO
BA12,SO
BH1,SO
BH10,SO
BH11,SO
BH12,SO
BH13,SO
BH14,SO
BH15,SO
BH16,SO
BH17,SO
BH18,SO
BH19,SO
BH2,SO
BH2,SE
BH20,SO
BH21,SO
BH22,SO
BH23,SO
BH24,SO
BH25,SO
BH3,SO
BH31,SO
BH4,SO
BH41,SO
BH5,SO
BH6,SO
BH7,SO
BH8,SO
BH9,SO
BN1,SE
BN10,SE
BN11,SE
BN12,SE
BN13,SE
BN14,SE
BN15,SE
BN16,SE
BN17,SE
BN17,SO
BN18,SE
BN18,SO
BN2,SE
BN20,SE
BN21,SE
BN22,SE
BN23,SE
BN24,SE
BN25,SE
BN26,SE
BN27,SE
BN3,SE
BN4,SE
BN41,SE
BN42,SE
BN43,SE
BN44,SE
BN45,SE
BN5,SE
BN6,SE
BN7,SE
BN8,SE
BN9,SE
BN99,SE
BR1,SE
BR1,SO
BR2,SE
BR3,SE
BR4,SE
BR5,SE
BR6,SE
BR7,SE
BR8,SE
CB2,SO
CM12,SE
CR0,SE
CR2,SE
CR3,SE
CR4,SE
CR5,SE
CR6,SE
CR7,SE
CR8,SE
CR9,SE
CT1,SE
CT10,SE
CT11,SE
CT12,SE
CT13,SE
CT14,SE
CT15,SE
CT16,SE
CT17,SE
CT18,SE
CT19,SE
CT2,SE
CT20,SE
CT21,SE
CT27,SE
CT3,SE
CT37,SE
CT4,SE
CT5,SE
CT6,SE
CT7,SE
CT8,SE
CT9,SE
DA06,SE
DA1,SE
DA10,SE
DA11,SE
DA12,SE
DA13,SE
DA14,SE
DA15,SE
DA16,SE
DA17,SE
DA18,SE
DA2,SE
DA3,SE
DA4,SE
DA5,SE
DA6,SE
DA7,SE
DA8,SE
DA9,SE
DD1,SC
DD10,SC
DD11,SC
DD2,SC
DD2,SE
DD3,SC
DD4,SC
DD5,SC
DD6,SC
DD7,SC
DD8,SC
DD9,SC
DG1,SC
DG10,SC
DG11,SC
DG12,SC
DG13,SC
DG16,SC
DG2,SC
DG4,SC
DG5,SC
DG6,SC
DG7,SC
DG8,SC
DG9,LS
DG9,SC
DT1,SO
DT10,SO
DT11,SO
DT2,SO
DT3,SO
DT4,SO
DT5,SO
DT6,SO
DT7,SO
DT8,SO
DT9,SO
E9,SE
EH1,SC
EH10,SC
EH11,SC
EH12,SC
EH13,SC
EH14,SC
EH15,SC
EH15,SE
EH16,SC
EH17,SC
EH18,SC
EH19,SC
EH2,SC
EH20,SC
EH21,SC
EH22,SC
EH23,SC
EH24,SC
EH25,SC
EH26,SC
EH27,SC
EH28,SC
EH29,SC
EH3,SC
EH30,SC
EH31,SC
EH32,SC
EH33,SC
EH34,SC
EH35,SC
EH37,SC
EH39,SC
EH4,SC
EH40,SC
EH41,SC
EH42,SC
EH43,SC
EH44,SC
EH45,SC
EH47,SC
EH48,SC
EH49,SC
EH5,SC
EH51,SC
EH52,SC
EH53,SC
EH54,SC
EH55,SC
EH6,SC
EH64,SC
EH7,SC
EH8,SC
EH9,SC
EH99,SC
EX6,SE
FK1,SC
FK10,SC
FK11,SC
FK12,SC
FK13,SC
FK14,SC
FK15,SC
FK16,SC
FK17,SC
FK2,SC
FK3,SC
FK4,SC
FK5,SC
FK6,SC
FK7,SC
FK8,SC
FK9,SC
G1,SC
G11,SC
G12,SC
G13,SC
G14,SC
G15,SC
G2,SC
G20,SC
G21,SC
G22,SC
G23,SC
G3,SC
G31,SC
G32,SC
G33,SC
G34,SC
G4,SC
G40,SC
G41,SC
G42,SC
G43,SC
G44,SC
G45,SC
G46,SC
G5,SC
G51,SC
G52,SC
G53,SC
G58,SC
G59,SC
G60,SC
G61,SC
G62,SC
G63,SC
G64,SC
G65,SC
G66,SC
G67,SC
G68,SC
G69,SC
G70,SC
G71,SC
G72,SC
G73,SC
G74,SC
G75,SC
G76,SC
G77,SC
G78,SC
G79,SC
G81,SC
G82,SC
G83,SC
G84,SC
G85,SC
G88,SC
GU1,SE
GU10,SO
GU11,SO
GU12,SO
GU13,SO
GU14,SO
GU14,SE
GU15,SO
GU16,SO
GU17,SO
GU2,SE
GU21,SE
GU22,SE
GU22,SO
GU23,SE
GU24,SE
GU24,SO
GU26,SO
GU27,SO
GU28,SE
GU28,SO
GU29,SO
GU3,SO
GU3,SE
GU30,SO
GU31,SO
GU32,SO
GU33,SO
GU34,SO
GU35,SO
GU4,SE
GU4,SO
GU46,SO
GU47,SO
GU5,SE
GU5,SO
GU51,SO
GU52,SO
GU6,SE
GU7,SE
GU8,SE
GU8,SO
GU9,SO
GY1,SC
GY6,SC
HP14,SO
HP17,SO
HP18,SO
HP19,SO
HP2,SO
HP20,SO
HP21,SO
HP22,SO
HP23,SO
HP27,SO
HS1,SC
HS2,SC
HS7,SC
IV1,SC
IV10,SC
IV12,SC
IV15,SC
IV16,SC
IV17,SC
IV18,SC
IV2,SC
IV25,SC
IV3,SC
IV30,SC
IV31,SC
IV32,SC
IV36,SC
IV5,SC
IV6,SC
IV7,SC
KA1,SC
KA10,SC
KA11,SC
KA12,SC
KA13,SC
KA14,SC
KA15,SC
KA16,SC
KA17,SC
KA18,SC
KA19,SC
KA2,SC
KA20,SC
KA21,SC
KA22,SC
KA23,SC
KA24,SC
KA25,SC
KA26,SC
KA29,SC
KA3,SC
KA30,SC
KA4,SC
KA5,SC
KA6,SC
KA7,SC
KA8,SC
KA9,SC
KT1,SE
KT10,SE
KT11,SE
KT12,SE
KT13,SE
KT14,SE
KT17,SE
KT18,SE
KT19,SE
KT2,SE
KT20,SE
KT21,SE
KT22,SE
KT23,SE
KT24,SE
KT3,SE
KT4,SE
KT5,SE
KT6,SE
KT7,SE
KT8,SE
KT9,SE
KW1,LW
KW1,SC
KW14,SC
KW14,LT
KW9,SC
KY1,SC
KY10,SC
KY11,SC
KY12,SC
KY13,SC
KY14,SC
KY15,SC
KY16,SC
KY16,LC
KY18,SC
KY2,SC
KY20,SC
KY3,SC
KY4,SC
KY5,SC
KY6,SC
KY7,SC
KY8,SC
KY9,SC
KY99,SC
LU7,SO
ME1,SE
ME10,SE
ME11,SE
ME12,SE
ME13,SE
ME14,SE
ME15,SE
ME16,SE
ME17,SE
ME18,SE
ME19,SE
ME2,SE
ME20,SE
ME3,SE
ME4,SE
ME5,SE
ME6,SE
ME7,SE
ME76,SE
ME8,SE
ME9,SE
MK1,SO
MK10,SO
MK11,SO
MK12,SO
MK13,SO
MK14,SO
MK15,SO
MK16,SO
MK17,SO
MK18,SO
MK19,SO
MK2,SO
MK3,SO
MK4,SO
MK5,SO
MK6,SO
MK7,SO
MK8,SO
MK9,SO
ML1,SC
ML10,SC
ML11,SC
ML12,SC
ML2,SC
ML3,SC
ML4,SC
ML5,SC
ML6,SC
ML7,SC
ML8,SC
ML9,SC
N8,SE
NN11,SO
NN13,SO
OX1,SO
OX10,SO
OX11,SO
OX12,SO
OX13,SO
OX14,SO
OX15,SO
OX16,SO
OX17,SO
OX2,SO
OX20,SO
OX25,SO
OX26,SO
OX27,SO
OX28,SO
OX29,SO
OX3,SO
OX33,SO
OX39,SO
OX4,SO
OX44,SO
OX49,SO
OX5,SO
OX6,SO
OX7,SO
OX8,SO
OX9,SO
PA1,SC
PA10,SC
PA11,SC
PA12,SC
PA13,SC
PA14,SC
PA15,SC
PA16,SC
PA17,SC
PA18,SC
PA19,SC
PA2,SC
PA20,SC
PA23,SC
PA24,SC
PA28,LC
PA28,SC
PA29,SC
PA3,SC
PA33,SC
PA34,SC
PA34,LO
PA4,SC
PA44,SC
PA5,SC
PA6,SC
PA7,SC
PA8,SC
PA9,SC
PH1,SC
PH10,SC
PH11,SC
PH12,SC
PH13,SC
PH14,SC
PH15,SC
PH16,SC
PH2,SC
PH3,SC
PH6,SC
PH7,SC
PH8,SC
PH9,SC
PO1,SO
PO10,SO
PO11,SO
PO12,SO
PO13,SO
PO14,SO
PO15,SO
PO16,SO
PO17,SO
PO18,SO
PO19,SO
PO2,SO
PO20,SO
PO20,SE
PO21,SO
PO22,SO
PO3,SO
PO30,SO
PO31,SO
PO32,SO
PO33,SO
PO34,SO
PO35,SO
PO36,SO
PO37,SO
PO38,SO
PO39,SO
PO4,SO
PO40,SO
PO41,SO
PO5,SO
PO6,SO
PO7,SO
PO8,SO
PO9,SO
RG1,SO
RG10,SO
RG11,SO
RG13,SO
RG14,SO
RG15,SO
RG16,SO
RG17,SO
RG18,SO
RG19,SO
RG2,SO
RG20,SO
RG21,SO
RG22,SO
RG23,SO
RG24,SO
RG25,SO
RG26,SO
RG27,SO
RG28,SO
RG29,SO
RG3,SO
RG30,SO
RG31,SO
RG4,SO
RG40,SO
RG41,SO
RG42,SO
RG45,SO
RG46,SO
RG5,SO
RG6,SO
RG7,SO
RG8,SO
RG9,SO
RH1,SE
RH10,SE
RH11,SE
RH12,SE
RH13,SE
RH14,SE
RH15,SE
RH16,SE
RH17,SE
RH18,SE
RH19,SE
RH2,SE
RH20,SE
RH3,SE
RH4,SE
RH5,SE
RH6,SE
RH7,SE
RH8,SE
RH9,SE
SD40,SE
SE1,SE
SE10,SE
SE11,SE
SE12,SE
SE13,SE
SE14,SE
SE15,SE
SE16,SE
SE17,SE
SE18,SE
SE19,SE
SE2,SE
SE20,SE
SE21,SE
SE22,SE
SE23,SE
SE24,SE
SE25,SE
SE26,SE
SE27,SE
SE28,SE
SE3,SE
SE4,SE
SE5,SE
SE6,SE
SE65,SE
SE7,SE
SE8,SE
SE9,SE
SH3,SE
SM1,SE
SM2,SE
SM3,SE
SM4,SE
SM5,SE
SM6,SE
SM7,SE
SN10,SE
SN8,SC
SO1,SO
SO13,SO
SO14,SO
SO15,SO
SO16,SO
SO17,SO
SO18,SO
SO19,SO
SO2,SO
SO20,SO
SO21,SO
SO22,SO
SO23,SO
SO24,SO
SO3,SO
SO30,SO
SO31,SO
SO32,SO
SO4,SO
SO40,SO
SO41,SO
SO42,SO
SO43,SO
SO45,SO
SO5,SO
SO50,SO
SO51,SO
SO52,SO
SO53,SO
SO8,SO
SO9,SO
SO90,SO
SP1,SO
SP10,SO
SP11,SO
SP13,SO
SP15,SO
SP16,SO
SP2,SO
SP3,SO
SP4,SO
SP4,SC
SP5,SO
SP53,SO
SP6,SO
SP7,SO
SP8,SO
SP9,SO
SW1,SE
SW11,SE
SW11,SO
SW12,SE
SW13,SE
SW15,SE
SW16,SE
SW17,SE
SW18,SE
SW19,SE
SW1N,SE
SW1P,SE
SW2,SE
SW20,SE
SW4,SE
SW8,SE
SW9,SE
SW99,SE
TD1,SC
TD10,SC
TD11,SC
TD12,SC
TD14,SC
TD15,SC
TD2,SC
TD4,SC
TD5,SC
TD6,SC
TD7,SC
TD8,SC
TD9,SC
TD9,SO
TN1,SE
TN10,SE
TN11,SE
TN12,SE
TN13,SE
TN14,SE
TN15,SE
TN16,SE
TN17,SE
TN18,SE
TN19,SE
TN2,SE
TN20,SE
TN21,SE
TN22,SE
TN23,SE
TN24,SE
TN25,SE
TN26,SE
TN26,SC
TN27,SE
TN28,SE
TN29,SE
TN3,SE
TN30,SE
TN31,SE
TN32,SE
TN33,SE
TN34,SE
TN35,SE
TN36,SE
TN37,SE
TN38,SE
TN39,SE
TN4,SE
TN40,SE
TN5,SE
TN6,SE
TN7,SE
TN8,SE
TN9,SE
TW1,SE
TW11,SE
TW12,SE
TW13,SE
TW17,SE
TW2,SE
W1H,SE
ZE2,SC
